t,N,B
0.056794646,0.00530689,0.218764178
0.547373974,0.009312488,0.224618123
1.040404352,0.014423603,0.249543342
1.540015631,0.019123415,0.254333189
2.050371239,0.02381652,0.283062829
2.560726846,0.028276033,0.28818065
3.122118015,0.034094634,0.31481521
3.638477806,0.037367441,0.320565203
4.244900352,0.042743385,0.337518428
4.80629152,0.046720266,0.358771897
5.367682689,0.050465484,0.36845187
5.929073857,0.054036955,0.383635447
6.490465025,0.057357458,0.394401984
7.051856194,0.060388381,0.410295994
7.613247362,0.063245558,0.415259051
8.174638531,0.065871072,0.425115989
8.736029699,0.068284228,0.434161417
9.297420868,0.070523636,0.438650255
9.858812036,0.072550687,0.443220526
10.4202032,0.074403991,0.44783454
10.98159437,0.076064242,0.452668043
11.54298554,0.077608662,0.457709682
12.10437671,0.078940724,0.461377679
12.66576788,0.080118344,0.464485824
13.22715905,0.081199438,0.467034117
13.78855021,0.082164701,0.469041863
14.34994138,0.082975521,0.470586282
14.91133255,0.083728426,0.471802513
15.47272372,0.084326888,0.472613333
16.03411489,0.084906046,0.473095965
16.59550606,0.085369372,0.473443459
17.15689723,0.085736171,0.473462764
17.71828839,0.086102971,0.473134575
18.27967956,0.086353939,0.472825691
18.84107073,0.086546992,0.472362365
19.4024619,0.086720739,0.471725292
19.96385307,0.086952402,0.471049608
20.52524424,0.086971707,0.470277398
21.0866354,0.086971707,0.469485883
21.64802657,0.086971707,0.468675063
22.20941774,0.086971707,0.467825632
22.77080891,0.086971707,0.466976201
23.33220008,0.086971707,0.46612677
23.89359125,0.086971707,0.465277339
24.45498242,0.086971707,0.464447214
25.01637358,0.086971707,0.463617088
25.57776475,0.086971707,0.462806268
26.13915592,0.08675935,0.462034058
26.70054709,0.086604908,0.461281153
27.26193826,0.086546992,0.460566859
27.82332943,0.086546992,0.459929786
28.38472059,0.086546992,0.459254102
28.94611176,0.086527687,0.45869425
29.50750293,0.086334634,0.458095787
30.0688941,0.086180192,0.457574545
30.63028527,0.086122276,0.457091914
31.19167644,0.086122276,0.456647894
31.7530676,0.086122276,0.456223178
32.31445877,0.086122276,0.455817768
32.87584994,0.085948529,0.455450968
33.43724111,0.085909919,0.455142084
33.99863228,0.085697561,0.45479459
34.56002345,0.085697561,0.454543622
35.12141462,0.085697561,0.454331264
35.68280578,0.085697561,0.454003075
36.24419695,0.085697561,0.453906548
36.80558812,0.085697561,0.453597664
37.36697929,0.085697561,0.453501138
37.92837046,0.085678256,0.453385307
38.48976163,0.085485203,0.453095728
39.05115279,0.085485203,0.453076423
39.61254396,0.085485203,0.453076423
40.17393513,0.085427288,0.452864065
40.7353263,0.085272846,0.452709623
41.29671747,0.085272846,0.452651707
41.85810864,0.085272846,0.452651707
42.4194998,0.085272846,0.452651707
42.98089097,0.085272846,0.452651707
43.54228214,0.085272846,0.452651707
44.10367331,0.085272846,0.452458655
44.66506448,0.085272846,0.45243935
45.22645565,0.085272846,0.45243935
45.78784682,0.085272846,0.45243935
46.34923798,0.085272846,0.45243935
46.91062915,0.085272846,0.452381434
47.47202032,0.085272846,0.452226992
48.03341149,0.085272846,0.452226992
48.59480266,0.085272846,0.452226992
49.15619383,0.085272846,0.452226992
49.71758499,0.085272846,0.452226992
50.27897616,0.085272846,0.452226992
50.84036733,0.085272846,0.452400739
51.4017585,0.085272846,0.45243935
51.96314967,0.085272846,0.45243935
52.52454084,0.085272846,0.45243935
53.085932,0.085272846,0.45243935
53.64732317,0.085272846,0.45243935
54.20871434,0.085272846,0.45243935
54.77010551,0.085272846,0.45243935
55.33149668,0.085272846,0.45243935
55.89288785,0.085272846,0.45243935
56.45427902,0.085272846,0.45243935
57.01567018,0.085272846,0.45243935
57.57706135,0.085272846,0.45243935
58.13845252,0.085272846,0.45243935
58.69984369,0.085272846,0.45243935
59.26123486,0.085272846,0.452593792
59.82262603,0.085272846,0.452651707
60.38401719,0.085272846,0.452651707
60.94540836,0.085272846,0.452593792
61.50679953,0.085272846,0.452651707
62.0681907,0.085272846,0.452651707
62.62958187,0.085272846,0.452651707
63.19097304,0.085272846,0.452651707
63.7523642,0.085272846,0.452651707
64.31375537,0.085272846,0.452651707
64.87514654,0.085272846,0.452651707
65.43653771,0.085272846,0.452651707
65.99792888,0.085272846,0.452651707
66.55932005,0.085272846,0.452651707
67.12071122,0.085272846,0.452651707
67.68210238,0.085272846,0.452651707
68.24349355,0.085272846,0.452651707
68.80488472,0.085272846,0.452651707
69.36627589,0.085272846,0.452651707
69.92766706,0.085272846,0.452651707
70.48905823,0.085272846,0.452651707
71.05044939,0.085272846,0.452651707
71.61184056,0.085272846,0.452651707
72.17323173,0.085272846,0.452651707
72.7346229,0.085272846,0.452651707
73.29601407,0.085272846,0.452651707
73.85740524,0.085272846,0.452651707
74.4187964,0.085272846,0.452651707
74.98018757,0.085272846,0.452651707
75.54157874,0.085272846,0.452651707
76.10296991,0.085272846,0.452651707
76.66436108,0.085272846,0.452651707
77.22575225,0.085272846,0.452651707
77.78714342,0.085272846,0.452651707
78.34853458,0.085272846,0.452651707
78.90992575,0.085272846,0.452651707
79.47131692,0.085272846,0.452651707
80.03270809,0.085272846,0.452651707
80.59409926,0.085272846,0.452651707
81.15549043,0.085272846,0.452651707
81.71688159,0.085272846,0.452651707
82.27827276,0.085272846,0.452651707
82.83966393,0.085272846,0.452651707
83.4010551,0.085272846,0.452651707
83.96244627,0.085272846,0.452651707
84.52383744,0.085272846,0.452651707
85.0852286,0.085272846,0.452651707
85.64661977,0.085272846,0.452651707
86.20801094,0.085272846,0.452651707
86.76940211,0.085272846,0.452651707
87.33079328,0.085272846,0.452651707
87.89218445,0.085272846,0.452651707
88.45357562,0.085272846,0.452651707
89.01496678,0.085272846,0.452651707
89.57635795,0.085272846,0.452651707
90.13774912,0.085272846,0.452651707
90.69914029,0.085272846,0.452651707
91.26053146,0.085272846,0.452651707
91.82192263,0.085272846,0.452651707
92.38331379,0.085272846,0.452651707
92.94470496,0.085272846,0.452651707
93.50609613,0.085272846,0.452651707
94.0674873,0.085272846,0.452651707
94.62887847,0.085272846,0.452651707
95.19026964,0.085272846,0.452651707
95.75166081,0.085272846,0.452651707
96.31305197,0.085272846,0.452651707
96.87444314,0.085272846,0.452651707
97.43583431,0.085272846,0.452651707
97.99722548,0.085272846,0.452651707
98.55861665,0.085272846,0.452651707
99.12000782,0.085272846,0.452651707
99.68139898,0.085272846,0.452651707
100.1152013,0.085272846,0.452613097
